height,time,type,date
-0.1872069339289044,14:55:00,low,2021-03-22
-0.1643572119726857,03:44:00,low,2021-03-23
-0.2837664433123212,16:18:00,low,2021-03-23
-0.2964258444812669,04:47:00,low,2021-03-24
-0.4018571797905707,17:04:00,low,2021-03-24
-0.439198524159347,05:28:00,low,2021-03-25
-0.5192430363226149,17:41:00,low,2021-03-25
-0.5759367063306156,06:03:00,low,2021-03-26
-0.6260797725120462,18:14:00,low,2021-03-26
-0.6946744407343647,06:37:00,low,2021-03-27
-0.713546193233895,18:47:00,low,2021-03-27
-0.7838789525939645,07:11:00,low,2021-03-28
-0.7723870446950083,19:20:00,low,2021-03-28
-0.8331335387060039,07:46:00,low,2021-03-29
-0.7938522427388227,19:55:00,low,2021-03-29
-0.8349813158597075,08:22:00,low,2021-03-30
-0.7715693148923668,20:31:00,low,2021-03-30
-0.7868762794638401,09:00:00,low,2021-03-31
-0.7036114014184057,21:09:00,low,2021-03-31
-0.6927201643340932,09:41:00,low,2021-04-01
-0.5943804727783375,21:52:00,low,2021-04-01
-0.5640765537944934,10:28:00,low,2021-04-02
-0.4569218277379145,22:44:00,low,2021-04-02
-0.4228951153014892,11:28:00,low,2021-04-03
-0.3203530438974525,23:57:00,low,2021-04-03
-0.3130417431393127,12:58:00,low,2021-04-04
-0.2552210210548845,01:55:00,low,2021-04-05
-0.3029085537242568,14:52:00,low,2021-04-05
-0.3167367226958472,03:44:00,low,2021-04-06
-0.3760308815954045,16:13:00,low,2021-04-06
-0.4267530412628399,04:51:00,low,2021-04-07
-0.4638915245074174,17:07:00,low,2021-04-07
-0.5262843375268105,05:37:00,low,2021-04-08
-0.5365251981460525,17:47:00,low,2021-04-08
-0.5981753749938267,06:14:00,low,2021-04-09
-0.5861495353103167,18:20:00,low,2021-04-09
-0.6412808397045268,06:45:00,low,2021-04-10
-0.6132907688918179,18:49:00,low,2021-04-10
-0.6604069136654913,07:12:00,low,2021-04-11
-0.620892725894252,19:14:00,low,2021-04-11
-0.6610709579601934,07:37:00,low,2021-04-12
-0.6111372188323679,19:39:00,low,2021-04-12
-0.6463345494746947,08:00:00,low,2021-04-13
-0.5842580590881772,20:03:00,low,2021-04-13
-0.6159835365301872,08:25:00,low,2021-04-14
-0.5391949975190276,20:28:00,low,2021-04-14
-0.5679093184016804,08:51:00,low,2021-04-15
-0.4751842452037301,20:55:00,low,2021-04-15
-0.5004700027073462,09:19:00,low,2021-04-16
-0.393183356740679,21:26:00,low,2021-04-16
-0.4146248568344786,09:53:00,low,2021-04-17
-0.2970324232685117,22:04:00,low,2021-04-17
-0.3162212242527406,10:37:00,low,2021-04-18
-0.1974271569062922,23:01:00,low,2021-04-18
-0.2243516643655709,11:51:00,low,2021-04-19
-0.1385527589211803,00:59:00,low,2021-04-20
-0.2016893808049144,13:57:00,low,2021-04-20
-0.2057786162968344,03:05:00,low,2021-04-21
-0.276906207132207,15:28:00,low,2021-04-21
-0.3400496544416029,04:11:00,low,2021-04-22
-0.388206761223772,16:23:00,low,2021-04-22
-0.486337162998014,04:56:00,low,2021-04-23
-0.5050476339782521,17:05:00,low,2021-04-23
-0.6241357772514443,05:34:00,low,2021-04-24
-0.6126692059253925,17:43:00,low,2021-04-24
-0.7391623963755233,06:11:00,low,2021-04-25
-0.699086716471269,18:20:00,low,2021-04-25
-0.8192364937957388,06:47:00,low,2021-04-26
-0.753433180381256,18:56:00,low,2021-04-26
-0.8550627109775696,07:24:00,low,2021-04-27
-0.7671516754409979,19:34:00,low,2021-04-27
-0.8418193508148615,08:02:00,low,2021-04-28
-0.7358185713556673,20:13:00,low,2021-04-28
-0.7804422887706689,08:42:00,low,2021-04-29
-0.6607551644513129,20:55:00,low,2021-04-29
-0.6782211101091882,09:24:00,low,2021-04-30
-0.5502371434656873,21:41:00,low,2021-04-30
-0.5489289908995639,10:12:00,low,2021-05-01
-0.4212252069024455,22:37:00,low,2021-05-01
-0.4140033598021404,11:11:00,low,2021-05-02
-0.3058053069161912,23:55:00,low,2021-05-02
