,height,time,type,date,datetime,moonphase
199,-0.1171356800803168,03:58:00,low,2021-02-21,2021-02-21,0.31
200,-0.2206497713803235,17:37:00,low,2021-02-21,2021-02-21,0.31
201,-0.1643994632210512,06:02:00,low,2021-02-22,2021-02-22,0.34
202,-0.3143756721473622,18:47:00,low,2021-02-22,2021-02-22,0.34
203,-0.2708068643597137,07:06:00,low,2021-02-23,2021-02-23,0.37
204,-0.4212730341778167,19:32:00,low,2021-02-23,2021-02-23,0.37
205,-0.3905879206577489,07:50:00,low,2021-02-24,2021-02-24,0.41
206,-0.5251390960203285,20:08:00,low,2021-02-24,2021-02-24,0.41
207,-0.5083865080881607,08:26:00,low,2021-02-25,2021-02-25,0.44
208,-0.618390070997754,20:41:00,low,2021-02-25,2021-02-25,0.44
209,-0.6144148014022531,09:00:00,low,2021-02-26,2021-02-26,0.47
210,-0.69488467580474,21:12:00,low,2021-02-26,2021-02-26,0.47
211,-0.6992656596002955,09:33:00,low,2021-02-27,2021-02-27,0.5
212,-0.7480802274072091,21:45:00,low,2021-02-27,2021-02-27,0.5
213,-0.7535512228742811,10:08:00,low,2021-02-28,2021-02-28,0.54
214,-0.7710303329093439,22:18:00,low,2021-02-28,2021-02-28,0.54
215,-0.7691787527724846,10:44:00,low,2021-03-01,2021-03-01,0.57
216,-0.7575498914786901,22:53:00,low,2021-03-01,2021-03-01,0.57
217,-0.7413335954623288,11:22:00,low,2021-03-02,2021-03-02,0.61
218,-0.7040930403351122,23:31:00,low,2021-03-02,2021-03-02,0.61
219,-0.6706228596090553,12:04:00,low,2021-03-03,2021-03-03,0.64
220,-0.611959488760024,00:13:00,low,2021-03-03,2021-03-03,0.64
221,-0.565334132243722,12:53:00,low,2021-03-04,2021-03-04,0.68
222,-0.4901136364992189,01:03:00,low,2021-03-04,2021-03-04,0.68
223,-0.445320999740676,13:54:00,low,2021-03-05,2021-03-05,0.72
224,-0.3617776453757282,02:11:00,low,2021-03-06,2021-03-06,0.75
225,-0.3524338645119157,15:22:00,low,2021-03-06,2021-03-06,0.75
226,-0.2839215936711417,03:56:00,low,2021-03-07,2021-03-07,0.79
227,-0.348425506801372,17:09:00,low,2021-03-07,2021-03-07,0.79
228,-0.3212633119615889,05:46:00,low,2021-03-08,2021-03-08,0.82
229,-0.4250418870420984,18:31:00,low,2021-03-08,2021-03-08,0.82
230,-0.4256547375182488,07:01:00,low,2021-03-09,2021-03-09,0.86
231,-0.5195137632765575,19:28:00,low,2021-03-09,2021-03-09,0.86
232,-0.5306826894351078,07:54:00,low,2021-03-10,2021-03-10,0.89
233,-0.597861445744479,20:12:00,low,2021-03-10,2021-03-10,0.89
234,-0.6090260322290066,08:36:00,low,2021-03-11,2021-03-11,0.93
235,-0.6487686985052089,20:48:00,low,2021-03-11,2021-03-11,0.93
236,-0.653545979394047,09:11:00,low,2021-03-12,2021-03-12,0.96
237,-0.6713376672366299,21:19:00,low,2021-03-12,2021-03-12,0.96
238,-0.6667482666649162,09:41:00,low,2021-03-13,2021-03-13,0.0
239,-0.6693863062836592,21:46:00,low,2021-03-13,2021-03-13,0.0
240,-0.655356181540525,10:08:00,low,2021-03-14,2021-03-14,0.03
241,-0.6477233825838472,22:11:00,low,2021-03-14,2021-03-14,0.03
242,-0.6261783575959924,10:33:00,low,2021-03-15,2021-03-15,0.06
243,-0.6095665130762006,22:34:00,low,2021-03-15,2021-03-15,0.06
244,-0.5832641206936958,10:57:00,low,2021-03-16,2021-03-16,0.1
245,-0.5556544287408525,22:58:00,low,2021-03-16,2021-03-16,0.1
246,-0.5272151749799241,11:22:00,low,2021-03-17,2021-03-17,0.13
247,-0.4852032092348243,23:23:00,low,2021-03-17,2021-03-17,0.13
248,-0.4567191403657031,11:50:00,low,2021-03-18,2021-03-18,0.16
249,-0.3978186308126776,23:51:00,low,2021-03-18,2021-03-18,0.16
